Name, Website Name, Price 
itel A14 Max,  itel A14 Max,4650
QMobile Noir i6i,  QMobile Noir i6i,6199
QMobile Bolt,  QMobile Bolt T360,6500
Lenovo A2010,  Lenovo A2010,6500
Alcatel Pixi 3 (4.5),  alcatel Pixi 3 (4.5),6643
itel A33, Itel A33,6999
QMobile Noir,  QMobile Noir LT100,6999
Alcatel Pixi 4 (4),  alcatel Pixi 4 (4),6999
Lenovo A Plus,  Lenovo A Plus,7000
itel A23 Pro,  itel A23 Pro,7299
Tecno Pop 2 Plus, Tecno Pop 2,7299
Tecno POP 2F, Tecno Pop 2F,7300
QMobile Linq X70,  Qmobile Linq X70,7500
Motorola RAZR i,  Motorola Razr i,7500
OPPO Joy Plus,  Oppo Joy Plus,7600
LG Aristo,  LG Aristo 2,7900
LG Aristo 2,  LG Aristo 2,7900
Lenovo Tab E7,  Lenovo Tab E7,8000
Samsung Galaxy J1 Mini,  Samsung Galaxy J1 Mini Prime,8349
Samsung Galaxy J1 Mini Prime,  Samsung Galaxy J1 Mini Prime,8349
Alcatel PIXI 4 (5),  alcatel Pixi 4 (5),8450
itel A36,  itel A36,8499
QMobile Linq L15,  QMobile Linq L15,8500
Lenovo Tab M10,  Lenovo Tab M10,8500
Lenovo B,  Lenovo B,8500
Tecno POP 3,  Tecno Pop 3,8999
Lenovo Vibe C,  Lenovo Vibe C,8999
Huawei Ascend Y520,  Huawei Ascend Y520,8999
Huawei Ascend,  Huawei Ascend Y520,8999
LG Gx,  LG GX300,9000
LG AKA,  LG AKA,9399
OPPO Joy 3,  Oppo Joy 3,9450
Huawei Y3II,  Huawei Y3II,9490
itel A25,  itel A25 Pro,9499
itel A25 Pro,  itel A25 Pro,9499
OPPO U3,  Oppo U3,9500
Motorola Moto X (2nd Gen),  Motorola Moto X (2nd Gen),9500
Samsung Galaxy J1 Ace,  Samsung Galaxy J1 Ace,9999
Alcatel Pop 4+,  alcatel Pop 4+,9999
itel A26, Itel A26,10099
LG Volt,  LG Volt,10170
Lenovo A6600,  Lenovo A6600,10200
LG X Power,  LG X power,10250
Motorola Droid Mini,  Motorola Droid Mini,10500
Tecno Pop 4 Pro, Tecno Pop 4,10599
LG K8,  LG K8 2017,10700
Motorola Droid Ultra,  Motorola Droid Ultra,10950
Sharp AQUOS Zero,  Sharp Aquos Zero,10999
Infinix Smart 4 Plus, Infinix Smart 4,10999
Huawei Y5II,  Huawei Y5II,10999
Tecno Pouvoir 3 Air,  TECNO Pouvoir 3 Air,11000
Alcatel U5,  alcatel U5,11000
OPPO Neo 5s,  Oppo Neo 5s,11200
LG K7,  LG K7 (2017),11500
Huawei Honor 5A,  Huawei Honor 5A,11500
Asus Zenfone 5 Lite,  Asus Zenfone 5 Lite A502CG,11500
itel A48,  itel A48,11999
QMobile QSmart,  QMobile QSmart Hot Pro 2,11999
Motorola Droid Maxx 2,  Motorola Droid Maxx 2,11999
Lenovo TAB E8,  Lenovo Tab E8,12000
Tecno Spark Go,  Tecno Spark Go,12499
Tecno Spark Go 2020, Tecno Spark Go,12499
Motorola Droid Turbo,  Motorola Droid Turbo,12499
QMobile SMART,  QMobile Smart View Max,12500
OPPO R1S,  Oppo R1S,12500
