Brand,Device_Model,Device_Name,Hardware_Model
itel,L6002P,S15 Pro,itel L6002P
itel,L6006,A48,itel L6006
itel,L6005,Vision 1,itel L6005
itel,L6501,P36 Pro LTE,itel L6501
itel,L5002,A25,itel L5002
itel,W4003,A14 Max,itel W4003
itel,u2,,wt98736b32_ca1
itel,L6502,Vision 1 Pro,itel L6502
itel,L5006C,A23 Pro,itel L5006C
itel,W5001P,A33,itel W5001P
itel,A571L,A26,itel A571L
itel,L5002P,A25 Pro,itel L5002P
itel,W5002,A35,itel W5002
itel,W6004P,A56 Pro,itel W6004P
itel,W5505,A36,itel W5505
ZTE,T85,Tough Max 2 LTE,T85
ZTE,MO-01K,Mono,MO-01K
ZTE,Z978,Blade V8 Pro,Z978
ZTE,NX591J,Nubia Z17 Lite,NX591J
ZTE,B2016,Axon mini,ZTE B2016
ZTE,NX573J,Nubia M2 Lite,NX573J
ZTE,N9136,Prestige 2,N9136
ZTE,B2017G,Axon 7 Mini,ZTE B2017G
ZTE,Z559DL,Blade T2 Lite,Z559DL
ZTE,BLADE V0800,Blade V8,ZTE BLADE V0800
ZTE,K88,Trek 2 HD,K88
ZTE,Z793C,Atrium,Z793C
ZTE,Z828,Avid Plus,Z828
ZTE,Blade V1000,Blade V10,ZTE Blade V1000
ZTE,Z970,Olympia,Z970
ZTE,Z981,ZMax Pro,Z981
ZTE,A0620,BLADE A6,ZTE BLADE A0620
ZTE,NX659J,nubia Red Magic 5G,NX659J
ZTE,NX569J,Z17 Mini,NX569J
ZTE,Z957,Grand X 4,Z957
ZTE,A2017U,Axon 7,ZTE A2017U
ZTE,Z917VL,Zmax Champ,Z917VL
ZTE,Z6201V,Blade A7 Prime,Z6201V
ZTE,Z958,Zmax 2,Z958
ZTE,Z959,Grand X 3,Z959
ZTE,K81,Grand X view 2,K81
ZTE,Z988,Grand X Max 2,Z988
ZTE,MO-01J,MONO MO-01J,MO-01J
ZTE,Z839,Blade Vantage,Z839
ZTE,BLADE V0850,Blade V8 Mini,ZTE BLADE V0850
ZTE,T83,Dave,ZTE T83
ZTE,Z851M,Overture 3,Z851M
ZTE,Z982,Blade Z Max,Z982
ZTE,NX551J,nubia M2,NX551J
ZTE,2050,Blade V Smart,ZTE 2050
ZTE,Blade V0720,Blate V7 Lite,ZTE BLADE V0720
ZTE,BV0710,V7 Max,ZTE BV0710
ZTE,NX575J,Nubia N2,NX575J
Yota Devices,YD201,YotaPhone 2,YD201
Xiaomi,dandelion,Redmi 9A,dandelion
Xiaomi,2014817,Redmi 2,2014817
Xiaomi,M2101K7AG,Redmi Note 10,M2101K7AG
Xiaomi,Note 1LTE,Redmi Note 4G,HM NOTE 1LTE
Xiaomi,SHARK MBU-H0,Black Shark 3 Pro 5G,SHARK MBU-H0
Xiaomi,M2007J20CI,Poco X3,M2007J20CI
Xiaomi,M2006C3MNG,Redmi 9C,M2006C3MNG
Xiaomi,M2012K11AC,Redmi K40,M2012K11AC
Xiaomi,M2012K11AG,Poco F3,M2012K11AG
Xiaomi,M2006C3MII,Redmi 9,M2006C3MII
Xiaomi,SHARK KLE-H0,Black Shark 3,SHARK KLE-H0
